step,transition,real_power_w,n_act,sum_abs_tau,sum_abs_tau2,sum_abs_tau3,sum_abs_tau4,sum_frame_abs_tau,sum_leg_abs_tau
0,mu1->mu2,70.76015488769241,17.0,28.92834527862676,116.76804386660845,730.4965517950924,6186.272141636219,11.556745964326733,17.37159931430002
1,mu2->mu3,69.8860668899035,17.0,15.375975835386692,24.945208492205577,47.33323005012436,97.81969834569126,5.063932917526077,10.31204291786062
2,mu3->mu4,94.59434099770256,17.0,28.686831164342255,58.028684649203385,122.58051274726242,266.2021253796415,5.614218598303376,23.072612566038863
3,mu4->mu5,100.93387788469836,17.0,27.58340673608087,60.56975495580515,158.6889812808855,478.41843219253894,7.7369430717456975,19.84646366433519
4,mu5->mu6,79.77128204427612,17.0,15.096069297799925,33.994878102031116,116.6948951136463,479.6286694383518,8.102239479389278,6.993829818410644
5,mu6->mu7,115.83109571499895,17.0,13.02383780630134,22.313951402255075,62.60089168616189,265.49419814978893,3.1294120134722525,9.894425792829088
6,mu7->mu8,96.33021582528467,17.0,14.658782242525655,23.07151158160895,44.09435436022325,90.8961553535585,4.683201827489839,9.97558041503582
7,mu8->mu9,46.13448925666419,17.0,15.359302968224892,47.16349246722097,211.83697543936302,1179.727725768105,8.2358000305431,7.123502937681789
8,mu9->mu8,61.097407555718384,17.0,14.898549786539382,30.082668160693096,83.20568662919608,299.04852454969546,5.434709758723373,9.46384002781601
9,mu8->mu7,84.58924256956202,17.0,20.88319643365548,47.447794145747366,124.60684566227182,363.54596890008673,6.992791552190171,13.890404881465319
10,mu7->mu6,59.242795325639335,17.0,15.523742258815194,29.903964470821258,91.61491188632067,392.83634206499,8.144430962093715,7.379311296721473
11,mu6->mu5,69.61848326670285,17.0,18.55284293750232,27.773276666185257,48.39954918484539,96.33017542672948,4.800215134539166,13.75262780296315
12,mu5->mu4,76.28941861499858,17.0,25.266609342131062,44.90086553623955,87.10659876689418,180.4543565840593,5.209494079757025,20.057115262374044
13,mu4->mu3,71.6809426474985,17.0,15.99647849123561,22.747394566139718,38.860041686810966,73.16663573701513,4.953006443810406,11.043472047425203
14,mu3->mu2,82.7665833672965,17.0,21.381275577782088,48.5468187760368,127.84147543785653,373.14334071934866,6.834504835221173,14.546770742560915
