variant,mae_w,rmse_w,bias_w,corr,mean_contact_count
framekp_30_legkp_10,17.41950740538694,23.60740140383703,1.4927088890582865,0.29710549047551255,6.97911111111111
allkp_10,16.80640284304718,23.688544409018746,-3.8409866873245955,0.1439967940243879,7.671111111111111
framekp_20_legkp_10,17.117698161080405,23.692547082304642,0.006145436869671528,0.22967653602273838,6.743999999999999
framekp_40_legkp_10,18.37293351778552,24.240244772219967,3.214245306795921,0.3016616108750761,7.079555555555555
allkp_12,19.51760425911457,25.670388862918784,1.905982884699335,0.1952218344601005,6.677333333333333
framekp_50_legkp_10,19.704790426715924,25.85191230528388,5.418379700154277,0.2766046450600462,7.069333333333332
allkp_15,22.727074427077422,29.83695668686415,8.225844645955812,0.22001303614786052,6.983111111111111
framekp_20_legkp_15,23.190647223933027,30.222210298758977,9.443724279008013,0.23619277154224402,7.132888888888889
framekp_30_legkp_15,24.070867649235655,30.761469579801428,11.26765521475528,0.2603019745924477,7.260000000000001
framekp_40_legkp_15,25.247583124338952,32.11897001857002,13.433603667810008,0.2537375715792986,7.397777777777778
allkp_18,26.48080315800136,33.83654148996526,13.138508398831954,0.21380431061290467,7.283111111111111
framekp_50_legkp_15,26.798860517999216,34.63285215372608,16.030382402966545,0.23141893133778377,7.561333333333334
allkp_20,28.851081014782363,36.43920676720852,16.22423168037451,0.2197278316274687,7.188888888888888
framekp_20_legkp_20,28.851081014782363,36.43920676720852,16.22423168037451,0.2197278316274687,7.188888888888888
framekp_30_legkp_20,30.72235303023209,38.32780491805182,19.44767065176773,0.23393533133856173,7.797777777777778
framekp_40_legkp_20,32.87730969729367,40.929829342995596,22.558880850451324,0.21761255106753158,8.019555555555558
floor_friction_0.2,41.12040041138587,51.42269520340059,32.169460995383695,0.1973948098831581,7.328888888888889
baseline,41.12040041138587,51.42269520340059,32.169460995383695,0.1973948098831581,7.328888888888889
floor_friction_0.05,41.12040041138587,51.42269520340059,32.169460995383695,0.1973948098831581,7.328888888888889
floor_friction_3.0,41.55963129832916,51.51028784484569,34.06577376696793,0.10184084906678917,14.858666666666666
floor_friction_1.5,44.09628485256757,53.90587077831692,35.65603580857393,0.20788389959020154,9.136
gravity_disabled,50.763605074301054,56.6791841093432,-40.21872892768334,0.1828129930822758,1.5533333333333335
contact_disabled,67.79588839213717,70.0632023353667,-67.79588839213717,-0.0845607481022,0.0
