step,transition,real_power_w,variant,sim_settle_power_w,sim_contact_count,error_w,abs_error_w,squared_error_w2
0,mu1->mu2,70.76015488769241,baseline,169.8612605785938,8.373333333333333,99.10110569090139,99.10110569090139,9821.029149159209
1,mu2->mu3,69.8860668899035,baseline,81.703788477984,3.906666666666667,11.817721588080502,11.817721588080502,139.65854353338395
2,mu3->mu4,94.59434099770256,baseline,184.96738357068693,14.593333333333334,90.37304257298437,90.37304257298437,8167.2868238984465
3,mu4->mu5,100.93387788469836,baseline,164.7802802386249,12.786666666666667,63.846402353926536,63.846402353926536,4076.363093539476
4,mu5->mu6,79.77128204427612,baseline,84.29657571623979,8.613333333333333,4.5252936719636665,4.5252936719636665,20.478282817514405
5,mu6->mu7,115.83109571499895,baseline,69.11026659525702,3.706666666666666,-46.720829119741936,46.720829119741936,2182.835873636126
6,mu7->mu8,96.33021582528467,baseline,75.91899932501022,3.7599999999999993,-20.41121650027445,20.41121650027445,416.6177590210759
7,mu8->mu9,46.13448925666419,baseline,73.25152756858314,8.02,27.117038311918954,27.117038311918954,735.3337668100803
8,mu9->mu8,61.097407555718384,baseline,76.11866196363499,3.8199999999999994,15.021254407916608,15.021254407916608,225.63808398735412
9,mu8->mu7,84.58924256956202,baseline,103.96535731331169,5.693333333333333,19.376114743749667,19.376114743749667,375.43382256295325
10,mu7->mu6,59.242795325639335,baseline,92.26871081909917,7.713333333333333,33.025915493459834,33.025915493459834,1090.7110941811504
11,mu6->mu5,69.61848326670285,baseline,114.90482749403036,7.480000000000001,45.286344227327504,45.286344227327504,2050.852973475999
12,mu5->mu4,76.28941861499858,baseline,173.4240843659221,10.06,97.13466575092353,97.13466575092353,9435.143290543638
13,mu4->mu3,71.6809426474985,baseline,92.75253074039888,4.713333333333333,21.071588092900384,21.071588092900384,444.01182475686124
14,mu3->mu2,82.7665833672965,baseline,104.74405701201545,6.693333333333333,21.97747364471894,21.97747364471894,483.00934780431567
0,mu1->mu2,70.76015488769241,floor_friction_0.05,169.8612605785938,8.373333333333333,99.10110569090139,99.10110569090139,9821.029149159209
1,mu2->mu3,69.8860668899035,floor_friction_0.05,81.703788477984,3.906666666666667,11.817721588080502,11.817721588080502,139.65854353338395
2,mu3->mu4,94.59434099770256,floor_friction_0.05,184.96738357068693,14.593333333333334,90.37304257298437,90.37304257298437,8167.2868238984465
3,mu4->mu5,100.93387788469836,floor_friction_0.05,164.7802802386249,12.786666666666667,63.846402353926536,63.846402353926536,4076.363093539476
4,mu5->mu6,79.77128204427612,floor_friction_0.05,84.29657571623979,8.613333333333333,4.5252936719636665,4.5252936719636665,20.478282817514405
5,mu6->mu7,115.83109571499895,floor_friction_0.05,69.11026659525702,3.706666666666666,-46.720829119741936,46.720829119741936,2182.835873636126
6,mu7->mu8,96.33021582528467,floor_friction_0.05,75.91899932501022,3.7599999999999993,-20.41121650027445,20.41121650027445,416.6177590210759
7,mu8->mu9,46.13448925666419,floor_friction_0.05,73.25152756858314,8.02,27.117038311918954,27.117038311918954,735.3337668100803
8,mu9->mu8,61.097407555718384,floor_friction_0.05,76.11866196363499,3.8199999999999994,15.021254407916608,15.021254407916608,225.63808398735412
9,mu8->mu7,84.58924256956202,floor_friction_0.05,103.96535731331169,5.693333333333333,19.376114743749667,19.376114743749667,375.43382256295325
10,mu7->mu6,59.242795325639335,floor_friction_0.05,92.26871081909917,7.713333333333333,33.025915493459834,33.025915493459834,1090.7110941811504
11,mu6->mu5,69.61848326670285,floor_friction_0.05,114.90482749403036,7.480000000000001,45.286344227327504,45.286344227327504,2050.852973475999
12,mu5->mu4,76.28941861499858,floor_friction_0.05,173.4240843659221,10.06,97.13466575092353,97.13466575092353,9435.143290543638
13,mu4->mu3,71.6809426474985,floor_friction_0.05,92.75253074039888,4.713333333333333,21.071588092900384,21.071588092900384,444.01182475686124
14,mu3->mu2,82.7665833672965,floor_friction_0.05,104.74405701201545,6.693333333333333,21.97747364471894,21.97747364471894,483.00934780431567
0,mu1->mu2,70.76015488769241,floor_friction_0.2,169.8612605785938,8.373333333333333,99.10110569090139,99.10110569090139,9821.029149159209
1,mu2->mu3,69.8860668899035,floor_friction_0.2,81.703788477984,3.906666666666667,11.817721588080502,11.817721588080502,139.65854353338395
2,mu3->mu4,94.59434099770256,floor_friction_0.2,184.96738357068693,14.593333333333334,90.37304257298437,90.37304257298437,8167.2868238984465
3,mu4->mu5,100.93387788469836,floor_friction_0.2,164.7802802386249,12.786666666666667,63.846402353926536,63.846402353926536,4076.363093539476
4,mu5->mu6,79.77128204427612,floor_friction_0.2,84.29657571623979,8.613333333333333,4.5252936719636665,4.5252936719636665,20.478282817514405
5,mu6->mu7,115.83109571499895,floor_friction_0.2,69.11026659525702,3.706666666666666,-46.720829119741936,46.720829119741936,2182.835873636126
6,mu7->mu8,96.33021582528467,floor_friction_0.2,75.91899932501022,3.7599999999999993,-20.41121650027445,20.41121650027445,416.6177590210759
7,mu8->mu9,46.13448925666419,floor_friction_0.2,73.25152756858314,8.02,27.117038311918954,27.117038311918954,735.3337668100803
8,mu9->mu8,61.097407555718384,floor_friction_0.2,76.11866196363499,3.8199999999999994,15.021254407916608,15.021254407916608,225.63808398735412
9,mu8->mu7,84.58924256956202,floor_friction_0.2,103.96535731331169,5.693333333333333,19.376114743749667,19.376114743749667,375.43382256295325
10,mu7->mu6,59.242795325639335,floor_friction_0.2,92.26871081909917,7.713333333333333,33.025915493459834,33.025915493459834,1090.7110941811504
11,mu6->mu5,69.61848326670285,floor_friction_0.2,114.90482749403036,7.480000000000001,45.286344227327504,45.286344227327504,2050.852973475999
12,mu5->mu4,76.28941861499858,floor_friction_0.2,173.4240843659221,10.06,97.13466575092353,97.13466575092353,9435.143290543638
13,mu4->mu3,71.6809426474985,floor_friction_0.2,92.75253074039888,4.713333333333333,21.071588092900384,21.071588092900384,444.01182475686124
14,mu3->mu2,82.7665833672965,floor_friction_0.2,104.74405701201545,6.693333333333333,21.97747364471894,21.97747364471894,483.00934780431567
0,mu1->mu2,70.76015488769241,floor_friction_1.5,177.05537710521946,7.76,106.29522221752705,106.29522221752705,11298.674266273458
1,mu2->mu3,69.8860668899035,floor_friction_1.5,81.98747476995268,7.693333333333333,12.10140788004918,12.10140788004918,146.4440726793164
2,mu3->mu4,94.59434099770256,floor_friction_1.5,190.0017183217082,15.353333333333333,95.40737732400565,95.40737732400565,9102.567647845188
3,mu4->mu5,100.93387788469836,floor_friction_1.5,170.51947834913898,14.726666666666665,69.58560046444062,69.58560046444062,4842.155791996758
4,mu5->mu6,79.77128204427612,floor_friction_1.5,92.09338261851904,9.2,12.322100574242924,12.322100574242924,151.8341625617578
5,mu6->mu7,115.83109571499895,floor_friction_1.5,72.68306620423395,3.8866666666666667,-43.148029510765,43.148029510765,1861.7524506618472
6,mu7->mu8,96.33021582528467,floor_friction_1.5,76.17637750609737,5.766666666666667,-20.1538383191873,20.1538383191873,406.17719899594243
7,mu8->mu9,46.13448925666419,floor_friction_1.5,70.50547756223804,9.693333333333333,24.370988305573853,24.370988305573853,593.9450709904175
8,mu9->mu8,61.097407555718384,floor_friction_1.5,83.2308407576705,6.1066666666666665,22.133433201952123,22.133433201952123,489.88886530527657
9,mu8->mu7,84.58924256956202,floor_friction_1.5,111.278759220718,10.286666666666667,26.689516651155984,26.689516651155984,712.3302990723325
10,mu7->mu6,59.242795325639335,floor_friction_1.5,102.16514387446622,8.126666666666667,42.92234854882689,42.92234854882689,1842.3280049469818
11,mu6->mu5,69.61848326670285,floor_friction_1.5,118.65428932175428,8.126666666666667,49.035806055051424,49.035806055051424,2404.5102754686177
12,mu5->mu4,76.28941861499858,floor_friction_1.5,169.654749878824,11.84,93.36533126382541,93.36533126382541,8717.085082003854
13,mu4->mu3,71.6809426474985,floor_friction_1.5,88.45285964654421,8.28,16.771916999045715,16.771916999045715,281.2971998228786
14,mu3->mu2,82.7665833672965,floor_friction_1.5,109.90793884016088,10.193333333333333,27.141355472864376,27.141355472864376,736.653176904385
0,mu1->mu2,70.76015488769241,floor_friction_3.0,157.79019653423836,14.913333333333332,87.03004164654595,87.03004164654595,7574.228148999523
1,mu2->mu3,69.8860668899035,floor_friction_3.0,73.67437433458431,17.313333333333333,3.788307444680811,3.788307444680811,14.351273295424056
2,mu3->mu4,94.59434099770256,floor_friction_3.0,177.38362467207213,18.566666666666666,82.78928367436957,82.78928367436957,6854.065491315236
3,mu4->mu5,100.93387788469836,floor_friction_3.0,154.9707525976219,15.16,54.036874712923535,54.036874712923535,2919.983828740195
4,mu5->mu6,79.77128204427612,floor_friction_3.0,99.20108043527361,18.886666666666667,19.42979839099749,19.42979839099749,377.5170655148087
5,mu6->mu7,115.83109571499895,floor_friction_3.0,86.03572781433928,8.64,-29.79536790065967,29.79536790065967,887.7639483356606
6,mu7->mu8,96.33021582528467,floor_friction_3.0,69.92165224073504,12.426666666666666,-26.408563584549626,26.408563584549626,697.4122305992006
7,mu8->mu9,46.13448925666419,floor_friction_3.0,80.03865846536875,14.813333333333333,33.904169208704566,33.904169208704566,1149.4926897324708
8,mu9->mu8,61.097407555718384,floor_friction_3.0,94.50105123247795,12.033333333333333,33.403643676759565,33.403643676759565,1115.8034108839192
9,mu8->mu7,84.58924256956202,floor_friction_3.0,92.8712024866737,13.779999999999998,8.281959917111678,8.281959917111678,68.59086006864447
10,mu7->mu6,59.242795325639335,floor_friction_3.0,132.28997421641716,15.953333333333333,73.04717889077783,73.04717889077783,5335.890343901298
11,mu6->mu5,69.61848326670285,floor_friction_3.0,130.48180894108916,14.326666666666664,60.8633256743863,60.8633256743863,3704.344412146411
12,mu5->mu4,76.28941861499858,floor_friction_3.0,170.86266726734286,16.626666666666665,94.57324865234428,94.57324865234428,8944.099360658138
13,mu4->mu3,71.6809426474985,floor_friction_3.0,75.99965919201495,15.713333333333333,4.318716544516448,4.318716544516448,18.65131259188009
14,mu3->mu2,82.7665833672965,floor_friction_3.0,94.4905729229067,13.726666666666665,11.723989555610189,11.723989555610189,137.45193110005678
0,mu1->mu2,70.76015488769241,contact_disabled,12.377030343932965,0.0,-58.38312454375944,58.38312454375944,3408.589231492126
1,mu2->mu3,69.8860668899035,contact_disabled,8.43641206591026,0.0,-61.44965482399324,61.44965482399324,3776.060077987916
2,mu3->mu4,94.59434099770256,contact_disabled,7.953751875014262,0.0,-86.6405891226883,86.6405891226883,7506.591683526493
3,mu4->mu5,100.93387788469836,contact_disabled,11.138586245665747,0.0,-89.79529163903261,89.79529163903261,8063.1944005389205
4,mu5->mu6,79.77128204427612,contact_disabled,12.346591694077851,0.0,-67.42469035019826,67.42469035019826,4546.0888688201185
5,mu6->mu7,115.83109571499895,contact_disabled,15.31875579238454,0.0,-100.51233992261442,100.51233992261442,10102.730476719187
6,mu7->mu8,96.33021582528467,contact_disabled,8.561967881288764,0.0,-87.7682479439959,87.7682479439959,7703.265347158741
7,mu8->mu9,46.13448925666419,contact_disabled,12.548563954220946,0.0,-33.58592530244324,33.58592530244324,1128.0143784212974
8,mu9->mu8,61.097407555718384,contact_disabled,11.579000841970522,0.0,-49.518406713747865,49.518406713747865,2452.0726034681497
9,mu8->mu7,84.58924256956202,contact_disabled,8.851907018041668,0.0,-75.73733555152035,75.73733555152035,5736.143996443588
10,mu7->mu6,59.242795325639335,contact_disabled,14.045277666308838,0.0,-45.1975176593305,45.1975176593305,2042.8156025654926
11,mu6->mu5,69.61848326670285,contact_disabled,12.195936903694122,0.0,-57.422546363008735,57.422546363008735,3297.3488308118876
12,mu5->mu4,76.28941861499858,contact_disabled,10.08483345980763,0.0,-66.20458515519095,66.20458515519095,4383.047095570931
13,mu4->mu3,71.6809426474985,contact_disabled,8.574564889681847,0.0,-63.10637775781665,63.10637775781665,3982.4149137122563
14,mu3->mu2,82.7665833672965,contact_disabled,8.574890334579527,0.0,-74.19169303271698,74.19169303271698,5504.407315060906
0,mu1->mu2,70.76015488769241,gravity_disabled,27.400546985604535,0.56,-43.35960790208787,43.35960790208787,1880.0555974228012
1,mu2->mu3,69.8860668899035,gravity_disabled,8.41137406718162,0.0,-61.474692822721885,61.474692822721885,3779.137857648014
2,mu3->mu4,94.59434099770256,gravity_disabled,126.51168471008741,4.52,31.91734371238485,31.91734371238485,1018.7168296545126
3,mu4->mu5,100.93387788469836,gravity_disabled,71.30863047159582,4.8933333333333335,-29.625247413102542,29.625247413102542,877.6552842875388
4,mu5->mu6,79.77128204427612,gravity_disabled,38.49395514209816,2.3066666666666666,-41.27732690217796,41.27732690217796,1703.8177161892645
5,mu6->mu7,115.83109571499895,gravity_disabled,16.110468014745518,0.0,-99.72062770025343,99.72062770025343,9944.203588932553
6,mu7->mu8,96.33021582528467,gravity_disabled,8.615242482235084,0.0,-87.71497334304958,87.71497334304958,7693.916548571899
